,HouseNumber,Street,StreetSuffix,City,State,Zip,StreetName,Address,StateName,Zip4,AddressType,RBDI,Active,Fips,County,ResultCode,MAK,
131,1409,19th,Ter,Cape Coral,FL,33990,,1409 SE 19th Ter,Florida,5517,Street,Residential,Yes,12071,lee                      ,AS01,1557834782,
132,1410,19th,Ter,Cape Coral,FL,33990,,1410 SE 19th Ter,Florida,4538,Street,Residential,Yes,12071,lee                      ,AS01,4337270763,
133,1413,19th,Ter,Cape Coral,FL,33990,,1413 SE 19th Ter,Florida,5517,Street,Residential,Yes,12071,lee                      ,AS01,8247018822,
134,1414,19th,Ter,Cape Coral,FL,33990,,1414 SE 19th Ter,Florida,4538,Street,Residential,Yes,12071,lee                      ,AS01,6123461500,
135,1417,19th,Ter,Cape Coral,FL,33990,,1417 SE 19th Ter,Florida,5517,Street,Residential,Yes,12071,lee                      ,AS01,6929082062,
136,1421,19th,Ter,Cape Coral,FL,33990,,1421 SE 19th Ter,Florida,5517,Street,Residential,Yes,12071,lee                      ,AS01,6281409278,
137,1422,19th,Ter,Cape Coral,FL,33990,,1422 SE 19th Ter,Florida,4538,Street,Residential,Yes,12071,lee                      ,AS01,1600683138,
138,1425,19th,Ter,Cape Coral,FL,33990,,1425 SE 19th Ter,Florida,5517,Street,Residential,Yes,12071,lee                      ,AS01,9395774353,
139,1426,19th,Ter,Cape Coral,FL,33990,,1426 SE 19th Ter,Florida,4538,Street,Residential,Yes,12071,lee                      ,AS01,5653303818,
140,1429,19th,Ter,Cape Coral,FL,33990,,1429 SE 19th Ter,Florida,5517,Street,Residential,Yes,12071,lee                      ,AS01,9727624969,
141,1430,19th,Ter,Cape Coral,FL,33990,,1430 SE 19th Ter,Florida,4538,Street,Residential,Yes,12071,lee                      ,AS01,8549863054,
142,1433,19th,Ter,Cape Coral,FL,33990,,1433 SE 19th Ter,Florida,5517,Street,Residential,Yes,12071,lee                      ,AS01,2876618733,
143,1434,19th,Ter,Cape Coral,FL,33990,,1434 SE 19th Ter,Florida,4538,Street,Residential,Yes,12071,lee                      ,AS01,6941697265,
144,1437,19th,Ter,Cape Coral,FL,33990,,1437 SE 19th Ter,Florida,5517,Street,Residential,Yes,12071,lee                      ,AS01,5903802796,
145,1438,19th,Ter,Cape Coral,FL,33990,,1438 SE 19th Ter,Florida,4538,Street,Residential,Yes,12071,lee                      ,AS01,1592031486,
146,1441,19th,Ter,Cape Coral,FL,33990,,1441 SE 19th Ter,Florida,5517,Street,Residential,Yes,12071,lee                      ,AS01,4059567129,
147,1442,19th,Ter,Cape Coral,FL,33990,,1442 SE 19th Ter,Florida,4538,Street,Residential,Yes,12071,lee                      ,AS01,7830354608,
148,1445,19th,Ter,Cape Coral,FL,33990,,1445 SE 19th Ter,Florida,5517,Street,Residential,Yes,12071,lee                      ,AS01,9967286311,
149,1446,19th,Ter,Cape Coral,FL,33990,,1446 SE 19th Ter,Florida,4538,Street,Residential,Yes,12071,lee                      ,AS01,2248317704,
150,1450,19th,Ter,Cape Coral,FL,33990,,1450 SE 19th Ter,Florida,4538,Street,Residential,Yes,12071,lee                      ,AS01,9926972475,
151,1502,19th,Ter,Cape Coral,FL,33990,,1502 SE 19th Ter,Florida,4599,Street,Residential,Yes,12071,lee                      ,AS01,2085837734,
152,1506,19th,Ter,Cape Coral,FL,33990,,1506 SE 19th Ter,Florida,4599,Street,Residential,Yes,12071,lee                      ,AS01,4984258022,
153,1512,19th,Ter,Cape Coral,FL,33990,,1512 SE 19th Ter,Florida,4599,Street,Residential,Yes,12071,lee                      ,AS01,7565876373,
0,1701,28th,St,Cape Coral,FL,33909,,1701 NE 28th St,Florida,904,Street,Residential,Yes,12071,lee                      ,AS01,2142003885,
1,1702,28th,St,Cape Coral,FL,33909,,1702 NE 28th St,Florida,4577,Street,Residential,Yes,12071,lee                      ,AS01,4245717729,
2,1713,28th,St,Cape Coral,FL,33909,,1713 NE 28th St,Florida,904,Street,Residential,Yes,12071,lee                      ,AS01,4871721339,
3,1717,28th,St,Cape Coral,FL,33909,,1717 NE 28th St,Florida,904,Street,Residential,Yes,12071,lee                      ,AS01,5826508411,
4,1721,28th,St,Cape Coral,FL,33909,,1721 NE 28th St,Florida,904,Street,Residential,Yes,12071,lee                      ,AS01,9761537440,
5,1725,28th,St,Cape Coral,FL,33909,,1725 NE 28th St,Florida,904,Street,Residential,Yes,12071,lee                      ,AS01,9580954642,
6,1803,28th,St,Cape Coral,FL,33909,,1803 NE 28th St,Florida,906,Street,Residential,Yes,12071,lee                      ,AS01,2621334570,
7,1806,28th,St,Cape Coral,FL,33909,,1806 NE 28th St,Florida,4577,Street,Residential,Yes,12071,lee                      ,AS01,6416256333,
8,1807,28th,St,Cape Coral,FL,33909,,1807 NE 28th St,Florida,906,Street,Residential,Yes,12071,lee                      ,AS01,6522887191,
9,1810,28th,St,Cape Coral,FL,33909,,1810 NE 28th St,Florida,4577,Street,Residential,Yes,12071,lee                      ,AS01,2894198801,
10,1811,28th,St,Cape Coral,FL,33909,,1811 NE 28th St,Florida,906,Street,Residential,Yes,12071,lee                      ,AS01,4710330794,
11,1814,28th,St,Cape Coral,FL,33909,,1814 NE 28th St,Florida,4577,Street,Residential,Yes,12071,lee                      ,AS01,2125466143,
12,1818,28th,St,Cape Coral,FL,33909,,1818 NE 28th St,Florida,4577,Street,Residential,Yes,12071,lee                      ,AS01,7762527817,
13,1819,28th,St,Cape Coral,FL,33909,,1819 NE 28th St,Florida,906,Street,Residential,Yes,12071,lee                      ,AS01,8272936484,
14,1822,28th,St,Cape Coral,FL,33909,,1822 NE 28th St,Florida,4577,Street,Residential,Yes,12071,lee                      ,AS01,5266558071,
15,1823,28th,St,Cape Coral,FL,33909,,1823 NE 28th St,Florida,906,Street,Residential,Yes,12071,lee                      ,AS01,7531827776,
16,1902,28th,St,Cape Coral,FL,33909,,1902 NE 28th St,Florida,4579,Street,Residential,Yes,12071,lee                      ,AS01,7711000723,
17,1903,28th,St,Cape Coral,FL,33909,,1903 NE 28th St,Florida,4578,Street,Residential,Yes,12071,lee                      ,AS01,4988171237,
18,1906,28th,St,Cape Coral,FL,33909,,1906 NE 28th St,Florida,4579,Street,Residential,Yes,12071,lee                      ,AS01,8422421078,
19,1911,28th,St,Cape Coral,FL,33909,,1911 NE 28th St,Florida,4578,Street,Residential,Yes,12071,lee                      ,AS01,2068521998,
20,1914,28th,St,Cape Coral,FL,33909,,1914 NE 28th St,Florida,4579,Street,Residential,Yes,12071,lee                      ,AS01,2989949730,
21,1923,28th,St,Cape Coral,FL,33909,,1923 NE 28th St,Florida,4578,Street,Residential,Yes,12071,lee                      ,AS01,1461827012,
22,1927,28th,St,Cape Coral,FL,33909,,1927 NE 28th St,Florida,4578,Street,Residential,Yes,12071,lee                      ,AS01,4393912205,
23,1934,28th,St,Cape Coral,FL,33909,,1934 NE 28th St,Florida,4579,Street,Residential,Yes,12071,lee                      ,AS01,7851392926,
24,2003,28th,St,Cape Coral,FL,33909,,2003 NE 28th St,Florida,900,Street,Residential,Yes,12071,lee                      ,AS01,5156731117,
25,2004,28th,St,Cape Coral,FL,33909,,2004 NE 28th St,Florida,4579,Street,Unknown,Yes,12071,lee                      ,AS01,5891575069,
26,2007,28th,St,Cape Coral,FL,33909,,2007 NE 28th St,Florida,900,Street,Residential,Yes,12071,lee                      ,AS01,2049667557,
27,2008,28th,St,Cape Coral,FL,33909,,2008 NE 28th St,Florida,4579,Street,Residential,Yes,12071,lee                      ,AS01,7247397760,
28,2011,28th,St,Cape Coral,FL,33909,,2011 NE 28th St,Florida,900,Street,Residential,Yes,12071,lee                      ,AS01,6975863358,
29,2037,28th,St,Cape Coral,FL,33909,,2037 NE 28th St,Florida,4531,Street,Residential,Yes,12071,lee                      ,AS01,2046660515,
30,2038,28th,St,Cape Coral,FL,33909,,2038 NE 28th St,Florida,4504,Street,Residential,Yes,12071,lee                      ,AS01,3208764479,
31,2041,28th,St,Cape Coral,FL,33909,,2041 NE 28th St,Florida,4531,Street,Residential,Yes,12071,lee                      ,AS01,2984004293,
32,2045,28th,St,Cape Coral,FL,33909,,2045 NE 28th St,Florida,4531,Street,Residential,Yes,12071,lee                      ,AS01,3382217389,
33,2049,28th,St,Cape Coral,FL,33909,,2049 NE 28th St,Florida,4531,Street,Residential,Yes,12071,lee                      ,AS01,5078993105,
